Lots Pending Release,,,,,,,,,,Total Vials Pending Release,,
Skus ,Lot,BUD,Qnty,Date Inspection,Date AQL,Date Label,Date Testing Return,Date Final Plate Check,,Sku,Total,
Tirzepatide 72mg/4mL,10-Mar-2026,2700,Tirzepatide 72mg/4mL,13-Mar-2026,2700,,Sermorelin 9mg/3.6mL ,,,,,
Semaglutide 9mg/2mL (colonar),11-Mar-2026,2700,,,,,Testosterone Sublingual,,,,,
Tirzepatide 54mg/3mL,11-Mar-2026,2700,,,,,Tirzepatide 18mg/4mL,5400,,,,
Tirzepatide 54mg/3mL,11-Mar-2026,2700,,,,,Tirzepatide 27mg/3mL,8100,,,,
Tirzepatide 72mg/4mL,11-Mar-2026,2700,,,,,Tirzepatide 36mg/2mL ,10800,,,,
Tirzepatide 72mg/4mL,11-Mar-2026,2700,,,,,Tirzepatide 45mg/2.5mL,5400,,,,
,,,,,,,Tirzepatide 54mg/3mL ,5400,,,,
,,,,,,,Tirzepatide 72mg/4mL ,27000,,,,
,,,,,,,Tirzepatide 9mg/1mL,,,,,
,,,,,,,Tri-Mix 1,,,,,
,,,,,,,Tri-Mix 2,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Ship/Shipped to Perfect,,,,,,,,,,,,
Name,Batch,BUD,SHIP TO PERFECT DATE,SHIP QNTY,Ready to Ship,Shipped Qnty,Ship Date,,,,,
Tirzepatide 72mg/4mL,PRORX02122026@1,12-Feb-2027,20-Feb-2026,2700,Yes,2777,24-Feb-2026,,,,,
Glutathione 2000mg/10mL,PRORX01022026@4,01/07/2026,24-Feb-2026,2000,Yes,2500,24-Feb-2026,,,,,
Tirzepatide 72mg/4mL,PRORX02172026@1,17/02/2026,24-Feb-2026,2700,Yes,2765,24-Feb-2026,,,,,
Semaglutide 6.75mg/1.5mL,PRORX02172026@3,17/02/2026,24-Feb-2026,2700,Yes,2000,25-Feb-2026,,,,,
Sermorelin 15mg/6mL,PRORX01072026@4,05/08/2027,25-Feb-2026,205,Yes,205,25-Feb-2026,,,,,
Tirzepatide 27mg/3mL,PRORX02182026@3,18/02/2027,25-Feb-2026,2700,Yes,1799,26-Feb-2026,,,,,
Tirzepatide 36mg/2mL,PRORX02182026@4,18/02/2027,25-Feb-2026,2700,Yes,2500,26-Feb-2026,,,,,
Tirzepatide 72mg/4mL,PRORX02132026@1,13-Feb-2027,24-Feb-2026,2700,Yes,2751,27-Feb-2026,,,,,
Tirzepatide 27mg/3mL,PRORX02112026@2,11/02/2027,27-Feb-2026,199,Yes,199,27-Feb-2026,,,,,
Tirzepatide 72mg/4mL,PRORX02162026@1,16-Feb-2027,27-Feb-2026,2500,Yes,2500,27-Feb-2026,,,,,
Tirzepatide 72mg/4mL,PRORX02172026@2,17-Feb-2026,2-Mar-2026,2700,Yes,2741,02-Mar-2026,,,,,
Tirzepatide 72mg/4mL,PRORX02182026@1,18/02/2027,2-Mar-2026,2700,Yes,2757,02-Mar-2026,,,,,
Semaglutide 12.5mg/5mL,PRORX02102026@3,10-Feb-2027,2-Mar-2026,38,Yes,38,02-Mar-2026,,,,,
Semaglutide 12.5mg/5mL,PRORX02122026@3,12/02/2027,2-Mar-2026,1000,Yes,1000,02-Mar-2026,,,,,
Tirzepatide 72mg/4mL,PRORX02112026@1,11/02/2027,,2500,,NA,,,,,,
Sermorelin 15mg/6mL,PRORX02132026@3,11/09/2026,24-Feb-2026,2700,No,,,,,,,
Semaglutide 12.5mg/5mL,PRORX02122026@3,12/02/2027,,2700,,,,,,,,
Tirzepatide 72mg/4mL,PRORX02182026@2,18/02/2027,2-Mar-2026,2700,Yes,2771,3-Mar-2026,,,,,
Tirzepatide 72mg/4mL,PRORX02192026@1,19/02/2027,3-Mar-2026,2700,Yes,2724,04-Mar-2026,,,,,
Semaglutide 9mg/2mL,PRORX02242026@4,24/02/2027,3-Mar-2026,2700,No,,,,,,,
Tirzepatide 72mg/4mL,PRORX02192026@2,19/02/2027,3-Mar-2026,2700,Yes,2500,05-Mar-2026,,,,,
NAD+ 1000mg/10mL,PRORX11122025@2,11/05/2026,4-Mar-2026,2700,Yes,400,04-Mar-2026,,,,,
Tri-Mix 2,PRORX12292025@3,29-Mar-2026,04-Mar-2026,50,Yes,50,04-Mar-2026,,,,,
Tirzepatide 18mg/2mL,PRORX02262026@2,26/02/2027,05-Mar-2026,2700,Yes,2662,05-Mar-2026,,,,,
Tirzepatide 72mg/4mL,PRORX02192026@3,19/02/2027,06-Mar-2026,2736,Yes,2736,06-Mar-2026,,,,,
Tirzepatide 54mg/3mL,PRORX02272026@4,27/02/2027,06-Mar-2026,2700,Yes,2500,6-Mar-2026,,,,,
Tirzepatide 36mg/2mL,PRORX02282026@1,28/02/2027,07-Mar-2026,2700,Yes,2700,07-Mar-2026,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
PerfectRx Inventory,,,,,,,,,,,,
SKU,,,,,Days Supply,,,,,,,
Cyanocobalamin 10mg/10mL,0,0,,24,0.00,,,,,,,
Glutathione 2000mg/10mL,2040,-117,,"1,647",35.03,,,,,,,
Glutathione 6000mg/30mL,19,0,,0,#DIV/0!,,,,,,,
Gonadorelin 10mg/5mL,0,0,,0,#DIV/0!,,,,,,,
Gonadorelin 2mg,0,0,,0,#DIV/0!,,,,,,,
Gonadorelin 6mg/6mL,81,0,,43,56.51,,,,,,,
MIC,0,0,,0,#DIV/0!,,,,,,,
Nad Sublingual,81,-1,,18,133.33,,,,,,,
NAD+ 1000mg/10mL,297,-205,,2050,1.35,,,,,,,
NAD+ 1200mg/6mL,499,-55,,2199,6.06,,,,,,,
NAD+ 500mg/2.5mL,"1,519",-84,,2000,21.53,,,,,,,
Phenylephrine 2mg/2mL,0,0,,0,#DIV/0!,,,,,,,
Semaglutide 12.5mg/5mL,"10,322",-451,,"12,937",22.89,,,,,,,
Semaglutide 2.25mg/2.5mL,"8,541",-424,,10186,23.91,,,,,,,
Semaglutide 4.5mg/2mL,"2,000",0,,0,#DIV/0!,,,,,,,
Semaglutide 4.5mg/5mL,455,-253,,"3,221",1.88,,,,,,,
Semaglutide 6.75mg/1.5mL,"9,832",-209,,11172,25.84,,,,,,,
Semaglutide 9mg/2mL,0,-1261,,5028,-7.52,,,,,,,
Sermorelin 15mg/6mL,0,-155,,2199,-2.11,,,,,,,
Sermorelin 8mg/3.2mL,"1,687",-21,,484,103.26,,,,,,,
Sermorelin 9mg/3.6mL,"2,392",-56,,319,219.69,,,,,,,
Testosterone Sublingual,0,0,,0,#DIV/0!,,,,,,,
Tirzepatide 18mg/4mL,0,-589,2662,7154,8.69,,,,,,,
Tirzepatide 27mg/mL,"1,991",-467,,7654,5.97,,,,,,,
Tirzepatide 36mg/2mL,682,-629,2600,9874,8.06,,,,,,,
Tirzepatide 45mg/2.5mL,"1,207",-343,,5015,5.17,,,,,,,
Tirzepatide 54mg/3mL,267,-202,2500,3651,21.08,,,,,,,
Tirzepatide 72mg/4mL,"10,358",-2829,2736,46992,6.55,,,,,,,
Tirzepatide 9mg/mL,"1,567",-317,,4111,9.12,,,,,,,
Tri-Mix 1,0,0,,1,0.00,,,,,,,
Tri-Mix 2,48,-1,,20,70.50,,,,,,,
